Source,Target
338768,19265
338768,8838
452773,121734
452773,82703
452773,9598
452773,9447
452773,66125
257211,11631
257211,437557
257211,258480
257211,39781
257211,297762
170522,9564
170522,11047
170522,9318
170522,480896
232672,11522
232672,10527
232672,225886
232672,290762
232672,11430
13053,9325
13053,927
13053,11886
13053,10808
13053,10948
256961,324668
256961,9029
256961,298
256961,11078
256961,1593
2123,13515
2123,82693
2123,460019
2123,476299
2123,381288
429733,15069
429733,357096
429733,445954
429733,146198
429733,96
44896,298
44896,324668
44896,8065
44896,524
44896,9029
51540,398181
51540,557
51540,45269
51540,340837
51540,7485
138832,4771
138832,339692
138832,429733
138832,273481
138832,398181
268531,52449
268531,400928
268531,346364
268531,406997
268531,862
4258,957
4258,808
4258,4247
4258,19908
4258,64688
74643,188222
74643,7446
74643,856
74643,294016
74643,1730
2642,396371
2642,389
2642,390043
2642,384677
2642,1645
18240,9813
18240,35
18240,11631
18240,437557
18240,297762
122906,13
122906,118
122906,141
122906,72105
8871,11395
8871,13673
8871,9479
8871,10872
8871,10147
5559,744
5559,676
5559,325133
5559,87502
5559,363676
107985,475210
107985,274855
107985,14161
107985,109414
107985,74
9880,449176
9880,272693
9880,50479
9880,308369
9880,43923
72105,862
72105,1024
72105,24420
72105,1903
72105,19913
1581,634
1581,51052
1581,8871
1581,9479
1581,927
4256,40264
4256,5060
4256,4258
4256,3034
4256,957
1574,1645
1574,396371
1574,117
1574,11560
1574,389
302699,954
302699,691
302699,27576
302699,47971
302699,36955
8363,11355
8363,15037
8363,449176
8363,17899
8363,376660
9637,307663
9637,253
9637,3600
9637,10198
9637,2667
11619,699
11619,646
11619,657
11619,667
11619,691
9486,954
9486,47971
9486,36955
9486,343668
9486,955
296099,11153
296099,19908
296099,135397
296099,329
296099,306
334533,2062
334533,284276
334533,212778
334533,590
334533,43923
297725,281957
297725,336843
297725,101299
297725,333339
297725,449176
41630,55721
41630,862
41630,13
41630,137106
41630,376660
332210,458737
332210,400579
332210,447332
332210,475210
332210,381283
376659,22152
376659,179144
376659,8363
9801,634
9801,11631
9801,437557
9801,118
9801,682
1584,89185
1584,11887
1584,525
1584,2108
1584,449176
11430,810
11430,150689
11430,9732
11430,2270
18360,1593
18360,44826
18360,863
18360,181533
18360,38055
109414,935
109414,402897
109414,627
109414,14
109414,185
9982,228161
9982,49849
9982,348
9982,602
9982,601
339967,927
339967,458737
339967,408220
339967,928
339967,9619
353069,11395
353069,13673
353069,8871
353069,17979
353069,10147
364433,141052
364433,155
364433,49521
364433,1924
364433,1452
346648,2454
346648,278927
346648,411
346648,281957
346648,118
747,19908
747,170
747,72190
747,814
747,1562
134374,64688
134374,111
134374,8961
134374,272
134374,339846
371638,8966
371638,769
371638,222935
371638,424
371638,44826
7453,299687
7453,44826
7453,46529
7453,336843
7453,101299
50646,8390
50646,63492
50646,1656
50646,10571
50646,209263
196867,11224
196867,15157
196867,342473
196867,9325
196867,150689
62213,76492
62213,4011
62213,159824
62213,346672
62213,321612
40805,8456
40805,9053
40805,2502
40805,156022
40805,24
38365,72105
38365,13
38365,585
38365,862
38365,19913
368940,269149
368940,153518
368940,10734
368940,10137
368940,9598
10591,272693
10591,10625
10591,37725
10591,449176
10591,13342
114150,254470
114150,525
114150,440021
114150,460019
417644,96
417644,26390
417644,193893
417644,4771
417644,2142
382517,281957
382517,10009
382517,7484
382517,278927
382517,57158
62214,263109
62214,531
62214,387592
62214,533
62214,530
8835,10327
8835,52449
8835,76726
8835,9529
8835,59861
16996,10625
16996,272693
16996,449176
16996,511785
16996,89185
55721,114150
55721,19913
55721,454992
262391,12102
262391,112160
262391,50546
262391,2926
262391,381284
416477,241239
416477,772
416477,429200
416477,2064
416477,11007
7512,157350
7512,263115
7512,87101
7512,97020
7512,2048
23023,11224
23023,10882
23023,13179
23023,10693
23023,175112
346681,49519
346681,116711
346681,10999
346681,9598
346681,10345
1824,1903
1824,77
1824,38
1824,346685
1824,137
403431,12281
403431,15037
403431,862
403431,13
403431,19913
13649,10947
13649,2108
13649,313369
13649,449176
112205,1422
112205,707
112205,238
112205,2926
112205,154400
4248,22705
4248,106646
4248,10246
4248,2770
4248,4247
50546,24420
50546,1903
50546,1259
50546,225886
50546,38
116745,403119
116745,578
116745,579
116745,1907
116745,8914
3563,449176
3563,511785
3563,376867
3563,26371
3563,707
37821,2501
37821,9691
37821,4909
37821,787
37821,657
20760,11285
425194,392044
425194,281957
425194,4771
425194,395990
425194,449176
109451,2062
109451,3034
109451,9738
109451,126889
109451,399055
256591,1124
256591,264660
256591,291805
256591,796
256591,2652
50359,10127
50359,856
50359,294272
50359,81188
50359,433
818,817
818,955
818,238713
818,608
818,9654
7446,258489
7446,856
7446,14
7446,509
7446,1730
